start,end,resource,detail
1708,1727,"MEM.W.Read","down weights columns 288..575 reduction=19"
1719,1720,"MXM.E0.ActivationLoad","down SwiGLU block=19"
1719,1720,"MXM.W0.ActivationLoad","down SwiGLU block=19"
1723,1732,"MXM.E0.Compute","down columns 0..287 reduction=19 dst=sram"
1723,1732,"MXM.W0.Compute","down columns 288..575 reduction=19 dst=sram"
1732,1751,"MEM.E.Read","down weights columns 0..287 reduction=20"
1732,1751,"MEM.W.Read","down weights columns 288..575 reduction=20"
1743,1744,"MXM.E0.ActivationLoad","down SwiGLU block=20"
1743,1744,"MXM.W0.ActivationLoad","down SwiGLU block=20"
1747,1756,"MXM.E0.Compute","down columns 0..287 reduction=20 dst=sram"
1747,1756,"MXM.W0.Compute","down columns 288..575 reduction=20 dst=sram"
1756,1775,"MEM.E.Read","down weights columns 0..287 reduction=21"
1756,1775,"MEM.W.Read","down weights columns 288..575 reduction=21"
1767,1768,"MXM.E0.ActivationLoad","down SwiGLU block=21"
1767,1768,"MXM.W0.ActivationLoad","down SwiGLU block=21"
1771,1780,"MXM.E0.Compute","down columns 0..287 reduction=21 dst=sram"
1771,1780,"MXM.W0.Compute","down columns 288..575 reduction=21 dst=sram"
1780,1799,"MEM.E.Read","down weights columns 0..287 reduction=22"
1780,1799,"MEM.W.Read","down weights columns 288..575 reduction=22"
1791,1792,"MXM.E0.ActivationLoad","down SwiGLU block=22"
1791,1792,"MXM.W0.ActivationLoad","down SwiGLU block=22"
1795,1804,"MXM.E0.Compute","down columns 0..287 reduction=22 dst=sram"
1795,1804,"MXM.W0.Compute","down columns 288..575 reduction=22 dst=sram"
1804,1823,"MEM.E.Read","down weights columns 0..287 reduction=23"
1804,1823,"MEM.W.Read","down weights columns 288..575 reduction=23"
1815,1816,"MXM.E0.ActivationLoad","down SwiGLU block=23"
1815,1816,"MXM.W0.ActivationLoad","down SwiGLU block=23"
1819,1828,"MXM.E0.Compute","down columns 0..287 reduction=23 dst=sram"
1819,1828,"MXM.W0.Compute","down columns 288..575 reduction=23 dst=sram"
1828,1847,"MEM.E.Read","down weights columns 0..287 reduction=24"
1828,1847,"MEM.W.Read","down weights columns 288..575 reduction=24"
1839,1840,"MXM.E0.ActivationLoad","down SwiGLU block=24"
1839,1840,"MXM.W0.ActivationLoad","down SwiGLU block=24"
1843,1852,"MXM.E0.Compute","down columns 0..287 reduction=24 dst=sram"
1843,1852,"MXM.W0.Compute","down columns 288..575 reduction=24 dst=sram"
1852,1871,"MEM.E.Read","down weights columns 0..287 reduction=25"
1852,1871,"MEM.W.Read","down weights columns 288..575 reduction=25"
1863,1864,"MXM.E0.ActivationLoad","down SwiGLU block=25"
1863,1864,"MXM.W0.ActivationLoad","down SwiGLU block=25"
1867,1876,"MXM.E0.Compute","down columns 0..287 reduction=25 dst=sram"
1867,1876,"MXM.W0.Compute","down columns 288..575 reduction=25 dst=sram"
1876,1895,"MEM.E.Read","down weights columns 0..287 reduction=26"
1876,1895,"MEM.W.Read","down weights columns 288..575 reduction=26"
1887,1888,"MXM.E0.ActivationLoad","down SwiGLU block=26"
1887,1888,"MXM.W0.ActivationLoad","down SwiGLU block=26"
1891,1900,"MXM.E0.Compute","down columns 0..287 reduction=26 dst=sram"
1891,1900,"MXM.W0.Compute","down columns 288..575 reduction=26 dst=sram"
1900,1919,"MEM.E.Read","down weights columns 0..287 reduction=27"
1900,1919,"MEM.W.Read","down weights columns 288..575 reduction=27"
1911,1912,"MXM.E0.ActivationLoad","down SwiGLU block=27"
1911,1912,"MXM.W0.ActivationLoad","down SwiGLU block=27"
1915,1924,"MXM.E0.Compute","down columns 0..287 reduction=27 dst=sram"
1915,1924,"MXM.W0.Compute","down columns 288..575 reduction=27 dst=sram"
1924,1943,"MEM.E.Read","down weights columns 0..287 reduction=28"
1924,1943,"MEM.W.Read","down weights columns 288..575 reduction=28"
1935,1936,"MXM.E0.ActivationLoad","down SwiGLU block=28"
1935,1936,"MXM.W0.ActivationLoad","down SwiGLU block=28"
1939,1948,"MXM.E0.Compute","down columns 0..287 reduction=28 dst=sram"
1939,1948,"MXM.W0.Compute","down columns 288..575 reduction=28 dst=sram"
1948,1967,"MEM.E.Read","down weights columns 0..287 reduction=29"
1948,1967,"MEM.W.Read","down weights columns 288..575 reduction=29"
1959,1960,"MXM.E0.ActivationLoad","down SwiGLU block=29"
1959,1960,"MXM.W0.ActivationLoad","down SwiGLU block=29"
1963,1972,"MXM.E0.Compute","down columns 0..287 reduction=29 dst=sram"
1963,1972,"MXM.W0.Compute","down columns 288..575 reduction=29 dst=sram"
1972,1991,"MEM.E.Read","down weights columns 0..287 reduction=30"
1972,1991,"MEM.W.Read","down weights columns 288..575 reduction=30"
1983,1984,"MXM.E0.ActivationLoad","down SwiGLU block=30"
1983,1984,"MXM.W0.ActivationLoad","down SwiGLU block=30"
1987,1996,"MXM.E0.Compute","down columns 0..287 reduction=30 dst=sram"
1987,1996,"MXM.W0.Compute","down columns 288..575 reduction=30 dst=sram"
1996,2015,"MEM.E.Read","down weights columns 0..287 reduction=31"
1996,2015,"MEM.W.Read","down weights columns 288..575 reduction=31"
2007,2008,"MXM.E0.ActivationLoad","down SwiGLU block=31"
2007,2008,"MXM.W0.ActivationLoad","down SwiGLU block=31"
2011,2020,"MXM.E0.Compute","down columns 0..287 reduction=31 dst=sram"
2011,2020,"MXM.W0.Compute","down columns 288..575 reduction=31 dst=sram"
2020,2039,"MEM.E.Read","down weights columns 0..287 reduction=32"
2020,2039,"MEM.W.Read","down weights columns 288..575 reduction=32"
2031,2032,"MXM.E0.ActivationLoad","down SwiGLU block=32"
2031,2032,"MXM.W0.ActivationLoad","down SwiGLU block=32"
2035,2044,"MXM.E0.Compute","down columns 0..287 reduction=32 dst=sram"
2035,2044,"MXM.W0.Compute","down columns 288..575 reduction=32 dst=sram"
2044,2063,"MEM.E.Read","down weights columns 0..287 reduction=33"
2044,2063,"MEM.W.Read","down weights columns 288..575 reduction=33"
2055,2056,"MXM.E0.ActivationLoad","down SwiGLU block=33"
2055,2056,"MXM.W0.ActivationLoad","down SwiGLU block=33"
2059,2068,"MXM.E0.Compute","down columns 0..287 reduction=33 dst=sram"
2059,2068,"MXM.W0.Compute","down columns 288..575 reduction=33 dst=sram"
2068,2087,"MEM.E.Read","down weights columns 0..287 reduction=34"
2068,2087,"MEM.W.Read","down weights columns 288..575 reduction=34"
2079,2080,"MXM.E0.ActivationLoad","down SwiGLU block=34"
2079,2080,"MXM.W0.ActivationLoad","down SwiGLU block=34"
2083,2092,"MXM.E0.Compute","down columns 0..287 reduction=34 dst=sram"
2083,2092,"MXM.W0.Compute","down columns 288..575 reduction=34 dst=sram"
2092,2111,"MEM.E.Read","down weights columns 0..287 reduction=35"
2092,2111,"MEM.W.Read","down weights columns 288..575 reduction=35"
2103,2104,"MXM.E0.ActivationLoad","down SwiGLU block=35"
2103,2104,"MXM.W0.ActivationLoad","down SwiGLU block=35"
2107,2116,"MXM.E0.Compute","down columns 0..287 reduction=35 dst=sram"
2107,2116,"MXM.W0.Compute","down columns 288..575 reduction=35 dst=sram"
2116,2135,"MEM.E.Read","down weights columns 0..287 reduction=36"
2116,2135,"MEM.W.Read","down weights columns 288..575 reduction=36"
2127,2128,"MXM.E0.ActivationLoad","down SwiGLU block=36"
2127,2128,"MXM.W0.ActivationLoad","down SwiGLU block=36"
